template_type,outline_signature,label,support_keys,support_fonts,source_examples,validation,notes
symbol,2454d27b63174a63c042bb59f34bdaf39ac9d26b,ㄏ,4,1,3up:DFPBiaoKai-W5-ZhuIn-BFW#14890:後:ㄏㄡˋ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14875:喝:ㄏㄜ;3down:DFPBiaoKai-W5-ZhuIn-BFW#14890:後:ㄏㄡˋ;3down:DFPBiaoKai-W5-ZhuIn-BFW#14875:喝:ㄏㄜ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
symbol,7524b968ad00c8b44ea9d6a0420eeb7f73f77f82,ㄏ,16,2,3up:DFPYuanW5-PoIn3-BFW#14895:和:ㄏㄢˋ;3up:DFPYuanW5-ZhuIn-BFW#14877:合:ㄏㄜˊ;3up:DFPYuanW5-ZhuIn-BFW#14888:好:ㄏㄠˇ;3up:DFPYuanW5-ZhuIn-BFW#14909:互:ㄏㄨˋ;3up:DFPYuanW5-ZhuIn-BFW#14907:呼:ㄏㄨ;3up:DFPYuanW5-ZhuIn-BFW#14891:後:ㄏㄡˋ;3up:DFPYuanW5-ZhuIn-BFW#14899:很:ㄏㄣˇ;3up:DFPYuanW5-ZhuIn-BFW#14894:含:ㄏㄢˊ;3up:DFPYuanW5-ZhuIn-BFW#14908:胡:ㄏㄨˊ;3up:DFPYuanW5-ZhuIn-BFW#14887:號:ㄏㄠˋ;3up:DFPYuanW5-ZhuIn-BFW#14905:衡:ㄏㄥˊ;3up:DFPYuanW5-ZhuIn-BFW#14882:海:ㄏㄞˇ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
symbol,79d3ae647be004c38e4e23b718818085647f73f3,ㄏ,29,1,3up:DFPBiaoKai-W5-ZhuIn-BFW#14916:活:ㄏㄨㄛˊ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14923:會:ㄏㄨㄟˋ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14926:環:ㄏㄨㄢˊ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14917:或:ㄏㄨㄛˋ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14927:換:ㄏㄨㄢˋ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14912:畫:ㄏㄨㄚˋ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14925:歡:ㄏㄨㄢ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14919:懷:ㄏㄨㄞˊ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14922:回:ㄏㄨㄟˊ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14928:緩:ㄏㄨㄢˇ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14921:揮:ㄏㄨㄟ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14918:伙:ㄏㄨㄛˇ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
symbol,acab9dcf6019fdac51ccbbdf9fdc18b4fb11b4e3,ㄏ,6,1,3up:DFPBiaoKai-W5-ZhuIn-BFW#14887:好:ㄏㄠˇ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14876:何:ㄏㄜˊ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14880:害:ㄏㄞˋ;3down:DFPBiaoKai-W5-ZhuIn-BFW#14876:何:ㄏㄜˊ;3down:DFPBiaoKai-W5-ZhuIn-BFW#14887:好:ㄏㄠˇ;3down:DFPBiaoKai-W5-ZhuIn-BFW#14880:害:ㄏㄞˋ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
symbol,c1d4b0e9be1b6a29033de57ceba8faa4d411f11b,ㄏ,53,9,3down:YenRoundZuinnEG-Md#14844:會:ㄏㄨㄟˋ;3down:YenRoundZuinnEG-Md#14841:揮:ㄏㄨㄟ;3down:YenRoundZuinnEG-Md#14799:合:ㄏㄜˊ;3down:YenRoundZuinnEG-Md#14864:護:ㄏㄨˋ;3down:YenRoundZuinnEG-Md#14836:活:ㄏㄨㄛˊ;3down:YenRoundZuinnEG-Md#14846:環:ㄏㄨㄢˊ;3down:YenRoundZuinnEG-Md#14809:好:ㄏㄠˇ;3down:YenRoundZuinnEG-Bd#14833:化:ㄏㄨㄚˋ;3down:YenRoundZuinnEG-Bd#14809:好:ㄏㄠˇ;3down:YenRoundZuinnEG-Bd#14837:火:ㄏㄨㄛˇ;3down:YenRoundZuinnEG-Bd#14844:會:ㄏㄨㄟˋ;3down:YenRoundZuinnEG-Bd#14803:海:ㄏㄞˇ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
symbol,e4cf93637c3c90b9c867543754a0c82a2876329d,ㄏ,2,1,3up:DFHeiPoIn1-Bd-BPMW-BF#14929:好:ㄏㄠˋ;3up:DFHeiPoIn1-Bd-BPMW-BF#14937:和:ㄏㄢˋ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
symbol,eace86d682d4e9cd67d836432a8b4b1c6ab4c30f,ㄏ,8,3,3up:DFPBiaoKai-W5-ZhuIn-BFW#14908:護:ㄏㄨˋ;3up:n@dW5@#14894:和:ㄏㄢˋ;3up:DFPBiaoKai-W5-PoIn1-BFW#14894:和:ㄏㄢˋ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14872:哈:ㄏㄚ;3down:DFPBiaoKai-W5-PoIn1-BFW#14894:和:ㄏㄢˋ;3down:DFPBiaoKai-W5-ZhuIn-BFW#14908:護:ㄏㄨˋ;3down:DFPBiaoKai-W5-ZhuIn-BFW#14909:虎:ㄏㄨˇ;3down:DFPBiaoKai-W5-ZhuIn-BFW#14894:翰:ㄏㄢˋ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
symbol,0418a96f3c7316699619a83d274b8b74774ceddf,ㄐ,22,1,3up:DFPBiaoKai-W5-ZhuIn-BFW#14964:進:ㄐㄧㄣˋ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14961:健:ㄐㄧㄢˋ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14966:將:ㄐㄧㄤ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14970:境:ㄐㄧㄥˋ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14960:間:ㄐㄧㄢ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14965:緊:ㄐㄧㄣˇ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14963:巾:ㄐㄧㄣ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14969:經:ㄐㄧㄥ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14962:減:ㄐㄧㄢˇ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14971:頸:ㄐㄧㄥˇ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14967:降:ㄐㄧㄤˋ;3down:DFPBiaoKai-W5-ZhuIn-BFW#14960:間:ㄐㄧㄢ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
symbol,05c6eee5e99cb0c3ec67488b2bcabfbc580cdc41,ㄐ,5,2,3up:DFPBiaoKai-W5-ZhuIn-BFW#14984:菌:ㄐㄩㄣˋ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14983:軍:ㄐㄩㄣ;3down:DFPBiaoKai-W5-ZhuIn-BFW#14983:均:ㄐㄩㄣ;3down:DFPBiaoKai-W5-ZhuIn-BFW#14984:菌:ㄐㄩㄣˋ;3down:DFPBiaoKai-W5-PoIn1-BFW#14983:龜:ㄐㄩㄣ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
symbol,1557ec83363e5179e8235d5253d40aa88f993047,ㄐ,57,7,3down:YenRoundZuinnEG-Md#14866:加:ㄐㄧㄚ;3down:YenRoundZuinnEG-Md#14874:解:ㄐㄧㄝˇ;3down:YenRoundZuinnEG-Md#14913:舉:ㄐㄩˇ;3down:YenRoundZuinnEG-Md#14898:記:ㄐㄧˋ;3down:YenRoundZuinnEG-Md#14893:精:ㄐㄧㄥ;3down:YenRoundZuinnEG-Md#14886:健:ㄐㄧㄢˋ;3down:YenRoundZuinnEG-Md#14897:己:ㄐㄧˇ;3down:YenRoundZuinnEG-Md#14896:及:ㄐㄧˊ;3down:YenRoundZuinnEG-Md#14895:境:ㄐㄧㄥˋ;3down:YenRoundZuinnEG-Bd#14886:健:ㄐㄧㄢˋ;3down:YenRoundZuinnEG-Bd#14871:接:ㄐㄧㄝ;3down:YenRoundZuinnEG-Bd#14889:進:ㄐㄧㄣˋ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
symbol,1feb20bf80332ddea820c509366fb11441c6a3de,ㄐ,7,1,3up:DFPYuanW5-ZhuIn-BFW#14943:吉:ㄐㄧˊ;3up:DFPYuanW5-ZhuIn-BFW#14945:己:ㄐㄧˇ;3up:DFPYuanW5-ZhuIn-BFW#14975:拒:ㄐㄩˋ;3up:DFPYuanW5-ZhuIn-BFW#14942:績:ㄐㄧ;3up:DFPYuanW5-ZhuIn-BFW#14944:季:ㄐㄧˋ;3up:DFPYuanW5-ZhuIn-BFW#14973:居:ㄐㄩ;3up:DFPYuanW5-ZhuIn-BFW#14976:舉:ㄐㄩˇ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
symbol,477c26111edf4ca1e545d19a75b73e990776f88b,ㄐ,30,3,3up:DFPBiaoKai-W5-ZhuIn-BFW#14949:階:ㄐㄧㄝ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14958:就:ㄐㄧㄡˋ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14952:解:ㄐㄧㄝˇ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14977:決:ㄐㄩㄝˊ;3up:DFPBiaoKai-W5-PoIn1-BFW#14947:假:ㄐㄧㄚˋ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14945:家:ㄐㄧㄚ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14955:教:ㄐㄧㄠˋ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14951:借:ㄐㄧㄝˋ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14950:節:ㄐㄧㄝˊ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14956:腳:ㄐㄧㄠˇ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14948:假:ㄐㄧㄚˇ;3up:n@dW5@#14947:假:ㄐㄧㄚˋ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
symbol,76ea8b75fac9d4d6e37f90805650a1edee426f27,ㄐ,2,2,3up:DFHeiChuIn-Bd-BPMW-BF#15013:淨:ㄐㄧㄥˋ;3up:DFHeiPoIn1-Bd-BPMW-BF#15013:勁:ㄐㄧㄥˋ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
symbol,83096b1046175c4299ea29a4d404a7c1a76ef4ec,ㄐ,21,1,3up:DFPYuanW5-ZhuIn-BFW#14961:間:ㄐㄧㄢ;3up:DFPYuanW5-ZhuIn-BFW#14956:教:ㄐㄧㄠˋ;3up:DFPYuanW5-ZhuIn-BFW#14963:減:ㄐㄧㄢˇ;3up:DFPYuanW5-ZhuIn-BFW#14953:解:ㄐㄧㄝˇ;3up:DFPYuanW5-ZhuIn-BFW#14978:決:ㄐㄩㄝˊ;3up:DFPYuanW5-ZhuIn-BFW#14970:經:ㄐㄧㄥ;3up:DFPYuanW5-ZhuIn-BFW#14971:境:ㄐㄧㄥˋ;3up:DFPYuanW5-ZhuIn-BFW#14952:借:ㄐㄧㄝˋ;3up:DFPYuanW5-ZhuIn-BFW#14951:結:ㄐㄧㄝˊ;3up:DFPYuanW5-ZhuIn-BFW#14962:見:ㄐㄧㄢˋ;3up:DFPYuanW5-ZhuIn-BFW#14950:接:ㄐㄧㄝ;3up:DFPYuanW5-ZhuIn-BFW#14965:進:ㄐㄧㄣˋ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
symbol,c6116043581104278704ada598e972295f883cd0,ㄐ,18,3,3up:DFPBiaoKai-W5-ZhuIn-BFW#14944:己:ㄐㄧˇ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14972:居:ㄐㄩ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14942:級:ㄐㄧˊ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14975:舉:ㄐㄩˇ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14943:繼:ㄐㄧˋ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14941:肌:ㄐㄧ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14974:拒:ㄐㄩˋ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14973:局:ㄐㄩˊ;3up:n@dW5@#14943:繫:ㄐㄧˋ;3down:DFPBiaoKai-W5-ZhuIn-BFW#14944:己:ㄐㄧˇ;3down:DFPBiaoKai-W5-ZhuIn-BFW#14942:及:ㄐㄧˊ;3down:DFPBiaoKai-W5-ZhuIn-BFW#14943:記:ㄐㄧˋ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
symbol,e1c22fe55881cb76dd1ec5c793092cf9c58035f2,ㄐ,2,2,3up:DFHeiChuIn-Bd-BPMW-BF#14987:己:ㄐㄧˇ;3up:DFHeiPoIn1-Bd-BPMW-BF#14987:給:ㄐㄧˇ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
symbol,05f093a087084f4a48753a8db9caaadaf8818276,ㄑ,2,2,3up:DFHeiChuIn-Bd-BPMW-BF#15051:前:ㄑㄧㄢˊ;3up:DFHeiPoIn1-Bd-BPMW-BF#15051:乾:ㄑㄧㄢˊ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
symbol,6b10200e98de62c70171b626838b1dea1cfad860,ㄑ,17,2,3up:DFPYuanW5-ZhuIn-BFW#15023:請:ㄑㄧㄥˇ;3up:DFPYuanW5-ZhuIn-BFW#15008:簽:ㄑㄧㄢ;3up:DFPYuanW5-ZhuIn-BFW#15009:前:ㄑㄧㄢˊ;3up:DFPYuanW5-ZhuIn-BFW#15021:情:ㄑㄧㄥˊ;3up:DFPYuanW5-ZhuIn-BFW#15019:搶:ㄑㄧㄤˇ;3up:DFPYuanW5-ZhuIn-BFW#15010:歉:ㄑㄧㄢˋ;3up:DFPYuanW5-ZhuIn-BFW#15020:清:ㄑㄧㄥ;3up:DFPYuanW5-ZhuIn-BFW#15017:強:ㄑㄧㄤˊ;3up:DFPYuanW5-ZhuIn-BFW#15036:群:ㄑㄩㄣˊ;3up:DFPYuanW5-ZhuIn-BFW#14998:茄:ㄑㄧㄝˊ;3up:DFPYuanW5-ZhuIn-BFW#15032:拳:ㄑㄩㄢˊ;3up:DFPYuanW5-ZhuIn-BFW#15006:球:ㄑㄧㄡˊ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
symbol,8d6d08c1abf292f3d19d3fc934351db564248ff3,ㄑ,33,7,3down:YenRoundZuinnEG-Md#14947:期:ㄑㄧˊ;3down:YenRoundZuinnEG-Md#14948:起:ㄑㄧˇ;3down:YenRoundZuinnEG-Md#14929:球:ㄑㄧㄡˊ;3down:YenRoundZuinnEG-Bd#14932:前:ㄑㄧㄢˊ;3down:YenRoundZuinnEG-Bd#14950:區:ㄑㄩ;3down:YenRoundZuinnEG-Bd#14929:球:ㄑㄧㄡˊ;3down:YenRoundZuinnEG-Bd#14965:趣:ㄑㄩˋ;3down:YenRoundZuinnEG-Bd#14955:全:ㄑㄩㄢˊ;3down:YenRoundZuinnEG-Md#14944:情:ㄑㄧㄥˊ;3down:YenRoundZuinnEG-Md#14935:親:ㄑㄧㄣ;3down:YenRoundZuinnEG-Md#14945:請:ㄑㄧㄥˇ;3down:LinGothicZuinnEG-Bd#14940:強:ㄑㄧㄤˊ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
symbol,8f076c2dca95b68a4377ff47301dd73c106418c4,ㄑ,36,2,3up:DFPBiaoKai-W5-ZhuIn-BFW#15011:親:ㄑㄧㄣ;3up:DFPBiaoKai-W5-ZhuIn-BFW#15022:請:ㄑㄧㄥˇ;3up:DFPBiaoKai-W5-ZhuIn-BFW#15007:簽:ㄑㄧㄢ;3up:DFPBiaoKai-W5-ZhuIn-BFW#15005:球:ㄑㄧㄡˊ;3up:DFPBiaoKai-W5-ZhuIn-BFW#15020:情:ㄑㄧㄥˊ;3up:DFPBiaoKai-W5-ZhuIn-BFW#15031:拳:ㄑㄩㄢˊ;3up:DFPBiaoKai-W5-ZhuIn-BFW#15008:前:ㄑㄧㄢˊ;3up:DFPBiaoKai-W5-ZhuIn-BFW#15016:強:ㄑㄧㄤˊ;3up:DFPBiaoKai-W5-ZhuIn-BFW#15019:傾:ㄑㄧㄥ;3up:DFPBiaoKai-W5-ZhuIn-BFW#15029:確:ㄑㄩㄝˋ;3up:DFPBiaoKai-W5-ZhuIn-BFW#15009:歉:ㄑㄧㄢˋ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14994:洽:ㄑㄧㄚˋ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
symbol,ceacb868cfc3bbc7a0856bf75dcc7fd5df0786f2,ㄑ,13,1,3up:DFPBiaoKai-W5-ZhuIn-BFW#14989:奇:ㄑㄧˊ;3up:DFPBiaoKai-W5-ZhuIn-BFW#15025:去:ㄑㄩˋ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14991:起:ㄑㄧˇ;3up:DFPBiaoKai-W5-ZhuIn-BFW#14990:器:ㄑㄧˋ;3up:DFPBiaoKai-W5-ZhuIn-BFW#15023:區:ㄑㄩ;3up:DFPBiaoKai-W5-ZhuIn-BFW#15026:取:ㄑㄩˇ;3down:DFPBiaoKai-W5-ZhuIn-BFW#14990:氣:ㄑㄧˋ;3down:DFPBiaoKai-W5-ZhuIn-BFW#14989:奇:ㄑㄧˊ;3down:DFPBiaoKai-W5-ZhuIn-BFW#15023:軀:ㄑㄩ;3down:DFPBiaoKai-W5-ZhuIn-BFW#14991:起:ㄑㄧˇ;3down:DFPBiaoKai-W5-ZhuIn-BFW#15025:去:ㄑㄩˋ;3down:DFPBiaoKai-W5-ZhuIn-BFW#15026:取:ㄑㄩˇ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
symbol,e7bc55f5c1eb0193dab3977fdfe6b755bb96df52,ㄑ,6,1,3up:DFPYuanW5-ZhuIn-BFW#14990:期:ㄑㄧˊ;3up:DFPYuanW5-ZhuIn-BFW#14992:起:ㄑㄧˇ;3up:DFPYuanW5-ZhuIn-BFW#15026:去:ㄑㄩˋ;3up:DFPYuanW5-ZhuIn-BFW#14991:氣:ㄑㄧˋ;3up:DFPYuanW5-ZhuIn-BFW#15024:區:ㄑㄩ;3up:DFPYuanW5-ZhuIn-BFW#15027:取:ㄑㄩˇ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
symbol,1b00e43755e8a7f341c496f31b266dd69d3dc9da,ㄒ,44,3,3up:DFPBiaoKai-W5-ZhuIn-BFW#15067:像:ㄒㄧㄤˋ;3up:DFPBiaoKai-W5-ZhuIn-BFW#15061:新:ㄒㄧㄣ;3up:DFPBiaoKai-W5-ZhuIn-BFW#15078:學:ㄒㄩㄝˊ;3up:DFPBiaoKai-W5-ZhuIn-BFW#15059:現:ㄒㄧㄢˋ;3up:DFPBiaoKai-W5-ZhuIn-BFW#15057:先:ㄒㄧㄢ;3up:DFPBiaoKai-W5-ZhuIn-BFW#15046:些:ㄒㄧㄝ;3up:DFPBiaoKai-W5-ZhuIn-BFW#15053:小:ㄒㄧㄠˇ;3up:n@dW5@#15071:興:ㄒㄧㄥˋ;3up:DFPBiaoKai-W5-ZhuIn-BFW#15070:行:ㄒㄧㄥˊ;3up:DFPBiaoKai-W5-ZhuIn-BFW#15044:下:ㄒㄧㄚˋ;3up:DFPBiaoKai-W5-ZhuIn-BFW#15049:寫:ㄒㄧㄝˇ;3up:DFPBiaoKai-W5-ZhuIn-BFW#15068:響:ㄒㄧㄤˇ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
symbol,25a5ddf954e14a1d06c89442b262d3d413ab42cb,ㄒ,15,2,3up:DFPBiaoKai-W5-ZhuIn-BFW#15039:習:ㄒㄧˊ;3up:DFPBiaoKai-W5-ZhuIn-BFW#15076:許:ㄒㄩˇ;3up:DFPBiaoKai-W5-ZhuIn-BFW#15038:悉:ㄒㄧ;3up:DFPBiaoKai-W5-ZhuIn-BFW#15075:續:ㄒㄩˋ;3up:DFPBiaoKai-W5-ZhuIn-BFW#15073:需:ㄒㄩ;3up:DFPBiaoKai-W5-ZhuIn-BFW#15040:係:ㄒㄧˋ;3up:DFPBiaoKai-W5-ZhuIn-BFW#15041:喜:ㄒㄧˇ;3down:DFPBiaoKai-W5-ZhuIn-BFW#15041:喜:ㄒㄧˇ;3down:DFPBiaoKai-W5-PoIn1-BFW#15499:西:˙ㄒㄧ;3down:DFPBiaoKai-W5-ZhuIn-BFW#15076:許:ㄒㄩˇ;3down:DFPBiaoKai-W5-ZhuIn-BFW#15040:細:ㄒㄧˋ;3down:DFPBiaoKai-W5-ZhuIn-BFW#15075:序:ㄒㄩˋ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
symbol,2b1f63d9a76122acb071efe488b45b990b844750,ㄒ,25,2,3up:DFPYuanW5-ZhuIn-BFW#15054:小:ㄒㄧㄠˇ;3up:DFPYuanW5-ZhuIn-BFW#15045:下:ㄒㄧㄚˋ;3up:DFPYuanW5-ZhuIn-BFW#15055:休:ㄒㄧㄡ;3up:DFPYuanW5-ZhuIn-BFW#15062:新:ㄒㄧㄣ;3up:DFPYuanW5-ZhuIn-BFW#15079:學:ㄒㄩㄝˊ;3up:DFPYuanW5-ZhuIn-BFW#15069:響:ㄒㄧㄤˇ;3up:DFPYuanW5-ZhuIn-BFW#15050:寫:ㄒㄧㄝˇ;3up:DFPYuanW5-ZhuIn-BFW#15068:項:ㄒㄧㄤˋ;3up:DFPYuanW5-ZhuIn-BFW#15058:先:ㄒㄧㄢ;3up:DFPYuanW5-ZhuIn-BFW#15070:星:ㄒㄧㄥ;3up:DFPYuanW5-ZhuIn-BFW#15060:現:ㄒㄧㄢˋ;3up:DFPYuanW5-ZhuIn-BFW#15047:些:ㄒㄧㄝ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
symbol,a170327b64623bfeb31f4194c2136cd5b4458c44,ㄒ,61,7,3down:YenRoundZuinnEG-Md#15006:學:ㄒㄩㄝˊ;3down:YenRoundZuinnEG-Md#15001:習:ㄒㄧˊ;3down:YenRoundZuinnEG-Md#14994:項:ㄒㄧㄤˋ;3down:YenRoundZuinnEG-Bd#14970:下:ㄒㄧㄚˋ;3down:YenRoundZuinnEG-Bd#14978:小:ㄒㄧㄠˇ;3down:YenRoundZuinnEG-Bd#14987:心:ㄒㄧㄣ;3down:YenRoundZuinnEG-Bd#14973:協:ㄒㄧㄝˊ;3down:YenRoundZuinnEG-Bd#14997:行:ㄒㄧㄥˊ;3down:YenRoundZuinnEG-Md#15022:序:ㄒㄩˋ;3down:YenRoundZuinnEG-Md#14997:行:ㄒㄧㄥˊ;3down:YenRoundZuinnEG-Md#14974:寫:ㄒㄧㄝˇ;3down:YenRoundZuinnEG-Md#14970:下:ㄒㄧㄚˋ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
symbol,b1abca2e7ba8f9d79a59e4307221e9f5200de669,ㄒ,6,1,3up:DFPYuanW5-ZhuIn-BFW#15040:息:ㄒㄧˊ;3up:DFPYuanW5-ZhuIn-BFW#15042:喜:ㄒㄧˇ;3up:DFPYuanW5-ZhuIn-BFW#15041:戲:ㄒㄧˋ;3up:DFPYuanW5-ZhuIn-BFW#15039:西:ㄒㄧ;3up:DFPYuanW5-ZhuIn-BFW#15074:需:ㄒㄩ;3up:DFPYuanW5-ZhuIn-BFW#15076:序:ㄒㄩˋ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
symbol,e8f03aa67990c1de94bf4d8655d696c79477cd69,ㄒ,10,1,3up:DFPBiaoKai-W5-ZhuIn-BFW#15086:尋:ㄒㄩㄣˊ;3up:DFPBiaoKai-W5-ZhuIn-BFW#15084:選:ㄒㄩㄢˇ;3up:DFPBiaoKai-W5-ZhuIn-BFW#15088:胸:ㄒㄩㄥ;3up:DFPBiaoKai-W5-ZhuIn-BFW#15087:訊:ㄒㄩㄣˋ;3up:DFPBiaoKai-W5-ZhuIn-BFW#15082:旋:ㄒㄩㄢˊ;3down:DFPBiaoKai-W5-ZhuIn-BFW#15086:循:ㄒㄩㄣˊ;3down:DFPBiaoKai-W5-ZhuIn-BFW#15088:胸:ㄒㄩㄥ;3down:DFPBiaoKai-W5-ZhuIn-BFW#15087:訊:ㄒㄩㄣˋ;3down:DFPBiaoKai-W5-ZhuIn-BFW#15084:選:ㄒㄩㄢˇ;3down:DFPBiaoKai-W5-ZhuIn-BFW#15081:宣:ㄒㄩㄢ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
symbol,019cf78be77bf308a8cc23d3bd0afb577be8f443,ㄓ,5,2,3up:DFPBiaoKai-W5-ZhuIn-BFW#15131:住:ㄓㄨˋ;3up:DFPBiaoKai-W5-ZhuIn-BFW#15111:照:ㄓㄠˋ;3down:DFPBiaoKai-W5-ZhuIn-BFW#15131:住:ㄓㄨˋ;3down:DFPBiaoKai-W5-ZhuIn-BFW#15111:照:ㄓㄠˋ;3down:DFPBiaoKai-W5-PoIn3-BFW#15131:著:ㄓㄨˋ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
symbol,02a3bb108ca92d1963b8f3381836f71ded1c9108,ㄓ,53,10,3down:YenRoundZuinnEG-Md#15032:這:ㄓㄜˋ;3down:YenRoundZuinnEG-Md#15078:中:ㄓㄨㄥ;3down:YenRoundZuinnEG-Md#15073:準:ㄓㄨㄣˇ;3down:YenRoundZuinnEG-Md#15031:者:ㄓㄜˇ;3down:YenRoundZuinn1EG-Bd#15053:長:ㄓㄤˇ;3down:YenRoundZuinnEG-Bd#15049:真:ㄓㄣ;3down:YenRoundZuinnEG-Bd#15048:戰:ㄓㄢˋ;3down:YenRoundZuinnEG-Bd#15023:之:ㄓ;3down:YenRoundZuinnEG-Bd#15061:桌:ㄓㄨㄛ;3down:YenRoundZuinnEG-Bd#15078:中:ㄓㄨㄥ;3down:YenRoundZuinnEG-Md#15047:展:ㄓㄢˇ;3down:YenRoundZuinnEG-Md#15084:執:ㄓˊ,static full-data audit + key LOO + cross-book holdout; support>=2,exact vertical-group outline signature; no fuzzy
