reference_mode,variant,glyph_id,body,style_support_count,style_groups,occurrence_count,font_count,file_count,conflict,conflict_detail
variant_gid,Z,2264,ㄌㄧㄠ,2,KAICHU_MD|YUAN_W3W5,3,2,3,N,
variant_gid,Z,2265,ㄆㄤ,2,KAICHU_MD|YUAN_W3W5,7,2,3,N,
variant_gid,Z,2267,ㄕ,4,BIAOKAI_W5|HEI_W7|KAICHU_MD|YUAN_W3W5,100,5,18,N,
variant_gid,Z,2275,ㄕㄨ,2,BIAOKAI_W5|KAICHU_MD,3,2,2,N,
variant_gid,Z,2279,ㄒㄧㄠ,4,BIAOKAI_W5|KAICHU_MD|YUAN_W3W5|YUAN_W7,15,4,3,N,
variant_gid,Z,2280,ㄏㄜ,1,YUAN_W3W5,1,1,1,N,
variant_gid,Z,2281,ㄢ,2,KAICHU_MD|YUAN_W3W5,3,2,2,N,
variant_gid,Z,2282,ㄎㄨㄤ,1,YUAN_W3W5,1,1,1,N,
variant_gid,Z,2284,ㄍㄣ,3,BIAOKAI_W5|KAICHU_MD|YUAN_W3W5,4,3,3,N,
variant_gid,Z,2290,ㄓㄨㄛ,1,BIAOKAI_W5,2,1,1,N,
variant_gid,Z,2296,ㄍㄜ,1,KAICHU_MD,15,1,6,N,
variant_gid,Z,2306,ㄑㄧ,3,BIAOKAI_W5|KAICHU_MD|YUAN_W7,15,3,5,N,
variant_gid,Z,2314,ㄒㄧㄠ,3,KAICHU_MD|YUAN_W3W5|YUAN_W7,4,3,2,N,
variant_gid,Z,2317,ㄐㄧㄣ,1,KAICHU_MD,1,1,1,N,
variant_gid,Z,2318,ㄏㄞ,1,KAICHU_MD,1,1,1,N,
variant_gid,Z,2323,ㄈㄨ,1,KAICHU_MD,18,1,1,N,
variant_gid,Z,2337,ㄌㄧㄝ,1,BIAOKAI_W5,2,1,1,N,
variant_gid,Z,2340,ㄊㄜ,3,BIAOKAI_W5|HEI_W7|KAICHU_MD,8,3,7,N,
variant_gid,Z,2347,ㄅㄢ,3,BIAOKAI_W5|KAICHU_MD|YUAN_W3W5,17,3,3,N,
variant_gid,Z,2357,ㄌㄧㄡ,1,KAICHU_MD,1,1,1,N,
variant_gid,Z,2358,ㄐㄧ,1,KAICHU_MD,4,1,1,N,
variant_gid,Z,2359,ㄅㄧㄥ,2,KAICHU_MD|YUAN_W3W5,11,2,3,N,
variant_gid,Z,2360,ㄓㄥ,1,KAICHU_MD,2,1,1,N,
variant_gid,Z,2364,ㄊㄥ,1,YUAN_W3W5,1,1,1,N,
variant_gid,Z,2365,ㄓㄣ,1,KAICHU_MD,1,1,1,N,
variant_gid,Z,2370,ㄧ,3,BIAOKAI_W5|KAICHU_MD|YUAN_W3W5,4,3,2,N,
variant_gid,Z,2374,ㄓㄣ,3,BIAOKAI_W5|KAICHU_MD|YUAN_W7,5,3,3,N,
variant_gid,Z,2375,ㄇㄧㄢ,1,KAICHU_MD,1,1,1,N,
variant_gid,Z,2380,ㄗㄚ,1,BIAOKAI_W5,1,1,1,N,
variant_gid,Z,2382,ㄆㄛ,1,YUAN_W3W5,1,1,1,N,
variant_gid,Z,2389,ㄇㄧ,1,YUAN_W3W5,4,1,1,N,
variant_gid,Z,2394,ㄕㄣ,2,BIAOKAI_W5|KAICHU_MD,2,2,2,N,
variant_gid,Z,2407,ㄓㄢ,1,KAICHU_MD,24,1,7,N,
variant_gid,Z,2409,ㄒㄧㄠ,2,BIAOKAI_W5|KAICHU_MD,5,2,2,N,
variant_gid,Z,2413,ㄨㄣ,1,KAICHU_MD,2,1,1,N,
variant_gid,Z,2416,ㄙㄨㄛ,1,KAICHU_MD,1,1,1,N,
variant_gid,Z,2420,ㄐㄧ,1,BIAOKAI_W5,3,1,1,N,
variant_gid,Z,2423,ㄓ,1,KAICHU_MD,6,1,3,N,
variant_gid,Z,2425,ㄑㄩㄝ,2,KAICHU_MD|YUAN_W3W5,3,3,2,N,
variant_gid,Z,2439,ㄓ,1,KAICHU_MD,1,1,1,N,
variant_gid,Z,2444,ㄘㄨㄟ,1,KAICHU_MD,1,1,1,N,
variant_gid,Z,2445,ㄒㄩㄥ,1,KAICHU_MD,6,1,4,N,
variant_gid,Z,2448,ㄋㄥ,4,BIAOKAI_W5|KAICHU_MD|YUAN_W3W5|YUAN_W7,50,5,11,N,
variant_gid,Z,2452,ㄔㄡ,1,KAICHU_MD,1,1,1,N,
variant_gid,Z,2459,ㄅㄢ,1,KAICHU_MD,3,1,3,N,
variant_gid,Z,2473,ㄔㄚ,1,KAICHU_MD,3,1,2,N,
variant_gid,Z,2480,ㄨㄣ,1,KAICHU_MD,5,1,1,N,
variant_gid,Z,2494,ㄐㄧ,4,BIAOKAI_W5|HEI_W7|KAICHU_MD|YUAN_W3W5,11,4,6,N,
variant_gid,Z,2496,ㄊㄠ,2,BIAOKAI_W5|KAICHU_MD,8,2,6,N,
variant_gid,Z,2499,ㄒㄩㄣ,2,KAICHU_MD|YUAN_W3W5,3,3,2,N,
